,Clean_tweet,label
12381,you might be a libtard if...,1
24455,how do you sleep at night? you are a terrible person! you sir represent everything wrong with our country. gfy,1
21294,silence betrays the innocent.,1
31606,i'm not i just hate those muzzies !,1
31864,we should not conflate islamic extremism with terrorism,1
31691,7 ways fails its its users by,1
10938,this is what is referring to when he ignorantly shouts &amp; his racist sheep sta bleating,1
21385,how is it that a man comes in last in a race but he is declared a winner?,1
14270,explain your actions. netanyahu you can not claim discrimination when u do it yourself to others.,1
16058,"hey carl paladino, looks like ""you're fired!""",1
17525,vandalised in in condemns act,1
30057,nude teen play for women in spo,1
1912,"if you look at a problem and the first thing you thing of is color, be it black or white. you're pa of the problem",1
498,are you &amp; feel like the are stomping on you? a|,1
25589,plz sign,1
9186,"this is awful! just slap on the face to hey my neighbor black just bought a $700,000 house. we r soa|",1
17708,why is ignored,1
31047,sex top 10 porn video,1
2126,"show me your tits, idiot!",1
20434,you might be a libtard if...,1
24123,your comments are reflections of ignorance and . =,1
8171,racist old woman is america oldwoman,1
11294,porn video smoking porn fetish,1
6574,d own team up with &amp; show what &amp; combat,1
16449,one infamous maneuver has affectionately been baptized the asaudi sweepa a| a|a|,1
19891,"w/ props, was not nor was he white. those who promote the need to be called vile scum.",1
6613,shot to racism.,1
21477,"no,we can see they have been instrumental in promoting false narrative &amp; abetting divisive blm agenda.",1
27536,vandalised in in condemns act,1
15641,riyadh is renowned for some of the deadliest traffic in the world. a| a|a|,1
16735,black genius v white supremacy are you missing the action? the being taught a lesson about .,1
13817,is what the lds church stands for? who knew?,1
5919,you might be a libtard if...,1
22826,"we were? maybe you are-but don't you dare demonize innocent infants born with white skin,",1
11792,small brains...just close eyes...vote for,1
19949,a reson why so many muslims might be,1
18549,"arc 5 week on &amp; mon 6:30 pm, $70 sliding scale.",1
5116,peruvian women nds adult game,1
2926,d own team up with &amp; show what &amp; combat,1
24178,sea shepherd suppoers are racist!,1
18232,intercourse video men and women japanese armpit hairly nude picture,1
12716,the end of,1
7215,you might be a libtard if...,1
14219,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
29625,many politicians claim that jihad is an attack against humanity a|,1
486,discussing republicans is the same thing as critiquing . we can't ignore the consequences.,1
30402,.@user d1@user so please stop go away &amp; take ur ugly skank with u.,1
17269,please retweet video that sparks outrage: white officer arrested black mother after littering argument,1
2236,travelled for game sad and disappointed of fans the sad i can't cheer for my own team .,1
21527,"a!i, a#charlespaladino's comments spark calls for",1
4262,says should with a -,1
13080,best think i've ever heard about nicola sturgeon. so it can't be true.,1
9595,black women demonic porn,1
20138,ouch woow!,1
3777,school board demanding after aa remarks made about,1
12825,how did women fair in 2016?,1
24150,joe biden: 'i want to thank' trump for unmasking america's,1
26670,it is truly sad. a who lot of working class men resent being offered help by a woman. evolution still has a lot ofa|,1
24650,hopefully you will stop funding the illegal state of and have them pay back $38billion,1
8247,"as a student in 89/90 in a bar i stood next to a white man who said ""i don't do pakis""",1
8772,"suck it, haters! voters hate/fear this, voters love/know this. who is the ?",1
15985,i know. ref. to &amp; is as ref. to . accepting,1
23379,yes because apparently being qualified for a job is dependent upon your ethnicity,1
29398,yeah man fuck feminism,1
9688,are a| &amp; feel like the are stomping on you? listen,1
27365,&amp; any other stupid lib word,1
3775,buffalo parents rally to remove trump ally carl paladino from school board after remarksa|,1
20013,this basically sums up what means:,1
18950,racism at home and anti- advice for others: we're good at both.,1
156,"as the smaller hands show, barry probably lied about being why his game sucked more than his",1
25931,"josephjett ""i do not advocate a kumbaya world. like should motivate us to a single purpose: intellectual competa|",1
30831,there is only one requirement for the job of the us president: being male,1
12792,"ain't hip, trendy. it scalds, it aches, it is chronic, &amp; chokes like smog. ever present but no sees it. it is aa|",1
2087,for hate crimes watch the in never seen so much hate against the poor like in thisdod>>d(c),1
30545,vandalised in in condemns act,1
27189,given the looked to jim crow for inspiration this is especially true regarding what to expect froma|,1
3781,"hey, - what is going to be done about this teacher making statements?",1
5445,in atlanta the mayor &amp; police force allow s to rule the city block roads &amp; freeways w/o action,1
7194,ouuh fuck it!,1
1586,"if talking about makes racism worst, with that logic talking about how talking about racism makes it worst, makes it worst.",1
20668,because trump is a &amp; a all proven by his words,1
28330,isn't it time we realized what we've done: read america's history!,1
4412,"piece of shit, emails r nothing compared 2 u! apologize for spew against",1
26110,i despise this &amp; everything he stands for! trying to destroy the usaa|,1
20283,why is comedy so ? because comedians are.,1
6826,your comments are reflections of ignorance and c@user,1
31299,"beware of the ""snowball effect"" black men. they're not our women",1
18817,are you &amp; feel like a| are stomping on you? listen,1
29103,"in queue with basket of food shopping, 50's guy says ""give us a smile"". think my response was a first by the look on his face.",1
21622,free girls pic galery girls fucked,1
26163,are you &amp; feel like the are stomping on you? a|,1
1479,smh i cant take these one sided standards,1
8505,classic ! yet you jewish bastards wonder why you are sooo hated in the world.,1
23644,the latest the blicqeraC/ daily! thanks to,1
15463,did someone say ? gee (((@user you're a bit triggered eh?,1
16551,"8 presidents, same policy on israeli settlements but only obama is slammed as a treacherous anti-semite. a|",1
21940,ag pick jeff sessions scrubs racism from record...even tho he once argued this is a felony,1
11760,"- please stop calling yourself ""canada's iconic dept store."" nothing ""iconic"" about suppoing a|",1
26696,what you should know about .,1
7441,just asking....oh and of course black people can be racist. that belief in itself is superior and by definition is .,1
19368,"like all religions, islam can be a strong unifying force.",1
28735,you might be a libtard if...,1
11408,stop bullying. stop racism. everyone can stand up to it and say it's wrong and treat everyone with respect.,1
6500,"check out this flyer for yay titties! question: do we have to bring my own pussy to grab, or will pussy bea|",1
28393,names for women best nude blonde teenagers,1
15745,millennials shocked by quotes think theyre from,1
16573,are you &amp; feel like the are stomping on you? listen,1
10318,you might be a libtard if...,1
26808,"thank you d santa d , for the best christmas present ever",1
25812,"when someone says 'i'm not a racist, but......'.",1
9272,"sickening, but very impoant, reading",1
979,the next best seller book! a|,1
20746,"""the reality is that the tech industry is made of regular-ass people.""",1
9785,why is ignored,1
25735,antics are purposedly used by to divide us,1
29819,obstruction goes all the way back to when he discovered was black,1
26273,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
27541,are you &amp; feel like the are stomping a| you? listen,1
24933,sex postion picture white girl has sex with black guy,1
1860,you might be a libtard if...,1
28921,your comments are reflections of ignorance and,1
771,great aicle. right on the money!,1
2683,"trophy. i have always been one. by ""educate yourself,""",1
19234,the main stream news media like was busily covering a small hand misogynist to notice..,1
18205,and japanese whaling a| 3/4 aedega a#c|a3Pa?aa>>,1
19406,"so sick of all the pre-programmed rhetoric! enough, already!! how about unity, patriotism and love for fea|",1
20654,"we might be going to hell, but we're not surprised at",1
5494,the latest the knitting clio daily! thanks to,1
23888,the latest the merocrush daily! thanks to,1
25782,"will you stop the , , etc labeling. i suppo and i am none of the above.",1
16680,weren't coming from a country were women were stoned and they didn't entered pro-#immigrant ba|,1
16924,"seems like ""#canadianvalues"" are ignoring reality, dividing &amp; weakening, &amp; .",1
14621,riyadh is renowned for some of the deadliest traffic in the world. a|,1
24201,a| you &amp; feel like the are stomping on you? listen,1
22451,well there's a surprise.... wonder how much that bit of research cost..,1
29002,by offensivememes69,1
28294,'wish list' of cretin co-chairman of on mr&amp;mrsa|,1
16273,"she resigned today from the ""chaer"" school.",1
9638,council staff have been instructed by the anc to go slow and make the da look bad. this was exposed a few weeks ago.,1
3572,"icymi: ""why 2016 was not a complete washout for anti-racism"" by",1
16668,the cold war was fought over oil. a|,1
8226,vandalised in in condemns act,1
31665,", kills. in 2017 remember, no-one is born to hate. love can change the world!",1
20813,"a tale of , &amp; for",1
8795,"turns into a raging sexist, and genocide-defender.",1
19745,"ohio trump campaign chair kathy miller should have said ""i didn't have to hear about before",1
10745,why is ignored,1
9875,pt 2 .that's your bitch ass,1
9650,"is attempting to sabotage or country in his final days,",1
2608,a|and even was afraid... of &amp; groups that threaten public safety &amp; propey,1
9081,nothing about the soul has fled the,1
23956,is nowhere close to genius at all. in fact his iq is in single digits.a|,1
15049,"awe the peoplea originally meant awe the white, landholding males.a a|",1
2467,fox news anchor tells to astick to thigh-high bootsa rather than politics,1
29463,this diagram explains trump's response to orlando,1
4616,chaplin - the dictator speech via,1
27387,fine ill boycott it!,1
21602,ny cunt campaign co-chair unleashes on in 2017 wish-list: via,1
27577,you might be a libtard if...,1
27989,mother daughter blowjob white girl has sex with black guy,1
26144,why are white people expats when the rest are immigrants? ?,1
17067,obama/jarretts who agenda was to destroy everything good about this country and inflict even bit of hate,1
28286,sea shepherd suppoers are racist!,1
24344,"&amp; joseon people in japan, will abuse the for claims of own rights by rough demo.",1
24902,sexism may be harmful to men's mental health...#men,1
4954,"why only target little children for mispronouncing ""terraced house"" &amp; treat them like criminals!a|",1
25022,"no, you're just supposed to be quiet and look pretty.",1
8604,is against a,1
15256,the latest the blicqeraC/ daily! thanks to,1
31045,book - enduring conviction: fred korematsu &amp; his quest for hta|,1
21670,why does this get so low key of a play when trump's foolish request to change judges got wall to wall coverage?,1
9882,great to see quebec is establishing a provincial inquiry into systemic &amp; towards indigenous ppls,1
3699,i'm defending a woman against condescension. although i saw you tweet that she belongs in the kitchen,1
17587,great speech war veteran,1
5200,"ik right some other racist makes a meme &amp;they swear it's proof, what happened to a|",1
12046,thats . r u racist?,1
8875,why is it christmas eve? why not christmas adam?,1
27986,why is ignored,1
26077,has complained that the pap is to white according to their lawa|,1
3138,you might be a libtard if...,1
27657,your analysis of &amp; was totally out of touch &amp; did not represent the spirit of,1
10443,the latest the equality echo! thanks to,1
9894,: ally carl slammed for wish list for what a cockwomble,1
2657,"it does not help when a person comments ""i don't like obama, but you're out of line!"" like duh mf, you knew you were voting same as",1
8568,"the odds of dying from extremist violence are roughly one in 400,000.",1
24608,"i gotta hand it to you, keeping it pretty darn cool in the face of such blatant .a|",1
31460,you might be a libtard if...,1
3640,the lady said it's the juniors only area (it wasn't) &amp; i'd be ask to leave if someone complained. then her boss defended her,1
7109,i'm not a but is the,1
7989,so is it offical that are officially in the eyes of the masses?,1
6043,if you truly stand for equality then none of these can be acceptable. a|,1
5091,"trump lackey carl palladino is th get of a mating betwn a pig &amp; a hyena &amp; iq of a slug. apologies to all pigs, hyea|",1
14920,nothing would be more dangerous than to give the impression we accept,1
27902,hot off the press! the nikita news is out!,1
5854,d(c)the white establishment can't have blk folx running around loving themselves and promoting our greatness,1
11355,hitler called...,1
4855,black professor makes assumptions about an entire race whilst speaking for entire race. next week the jews!,1
8183,why is ignored,1
16189,joe biden: 'i want to thank' trump for unmasking america's,1
13468,"so sick of all the pre-programmed rhetoric! enough, already!! how about unity, patriotism and love for fea|",1
22420,no comment! in,1
21451,"after 8 yrs of endless lies, contempt from a left activist, u realize with clarity he never came clean w/usa|",1
25053,"imagine that, is finally ashamed enough of his past to try and hide it.",1
22254,wow! this is what blogging is about! ddd,1
31718,white girl has sex with black guy girls nackt video free online,1
25298,what if rapists got the same advice women do?,1
4240,this should have been enough 2 just say no a|,1
21792,".@user just delete your account, shallow , and go away.",1
26606,she didn't get far,1
23725,hey you own . nobody comes close,1
4313,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
569,why is ignored,1
7283,"more propaganda from - this time videos on ""how to properly stab a jew""",1
19051,sea shepherd suppoers are racist!,1
22780,in america: 'kill obama' and not welcome here' signs in new mexico draw criticism,1
3943,diisgusted by the perks offered to passengers of the same race as male crew members on flt 43. vs others who arnt same.,1
2904,girl get fuck leg fucking,1
18617,yup. i concur. as do nearly 3 million voters.,1
4512,video men and womenmalayalam girl with dreads porn video,1
3717,jeff sessions omits decades of records for his ag confirmation hearing you can't hide,1
7785,live! swiftly sharpens the fang tale of a|,1
19311,only a racist would segregate people like you do.,1
30189,"leave a 'gweh' below a! if in 2017, you will no longer debate about",1
20033,so wonderful to see an intelligent woman stand her ground against a condescending jerk,1
4666,"was just cussed out &amp; called a racist on fb over ""work attire"" thread yep. my comment was dreads wouldnt be safe in ceain jobs. a",1
25501,sea shepherd suppoers are racist!,1
26859,"they are, but laws against whites protects blacks in",1
14835,when they call us they are really saying that they are jealous of us. when we go up they go down.,1
15112,you might be a libtard if...,1
5169,"awe the peoplea originally meant awe the white, landholding males.a a|a|",1
2701,doesn't arrive doing a salut.but in a sharp suit,1
22542,"we were here before such a bridge appeared. your denial of indigenous first people is racism. ergo, you are a|",1
19093,is being or what? having the men's moto 360 on sale and not the women's d$?,1
27638,i will not buy or dl a book in after their deal with,1
22228,typical riding the machine sic.,1
25638,"still needs help. thinks he's survived. we need to get him out of office, asap.",1
25916,book - in a global age ht,1
22140,listening to sam cooke in this ridiculously packed pavillion's to help keep me calm,1
5958,"holiday fun, socially relevant! celebrates '70 bewitched xmas ep",1
19807,"most deaths caused by islamic extremism occur in civil wars, not terror attacks. a|",1
27757,you might be a libtard if...,1
10624,the cowboys racist. i'm convince fooh. my nigga got 12 wins and y'all gon swap him for the white boy who ain't did shit.,1
12745,nothing. that would be .,1
9306,"if krakow is so beautiful then go &amp; stay there, &amp; let us build our &amp; here uk. i have east european",1
6180,all women's facility or program = cool! empowering! all men's facility or program = gay or misogynistic.,1
30916,the alt-right movement is like: mustfall,1
18231,fucking di bag,1
31637,you might be a libtard if...,1
5903,sea shepherd suppoers are racist!,1
20060,racist democrats falsely accuse latina nominee &amp; raid her business just to embarrass gop prez whoa|,1
28152,precisely why the deplorables are up in arms,1
23486,how's mars bar in charging guys APS5 for entry and girls APS2? isn't that like modern sexism?,1
31948,"makes you ask yourself, who am i? then am i anybody? until ....god . oh thank you god!",1
2166,techjunkiejh:athe daily showa unpacks against and on a|,1
7722,yoyas market in deming nm did not sell beer to me because i'm white they said they were closed then a hispanic walked in n they sold,1
19292,you would believe the accusations regarding your father,1
28390,"jews, christians and muslims all believe that good will prevail.",1
24458,you might be a libtard if...,1
8399,muslims arenat the only ones being displaced by uncle sam a| a|,1
20982,woman gets shagged by black man adult riders,1
9481,there is no correlation between the religion of islam and violence. a|a|,1
22093,abota kitazatoshibasaburo found tetanusimmunization with his colleague but kitazato didnot won nobelprize but colleague won is white,1
30496,"judge lets wlk aftr the of a special needs blk teen. ddnt wnt tht on his record, would nevr work n reverse",1
1374,if you didn't like or you're definitely not going to like,1
5314,j.c penney employee holds customer in headlock wow and they havent responded!,1
28797,white supremacy is not a joke (i agree) but lying 2 wmn 2 get laid is woh joking about? line of thought by,1
17618,new video! super mario run is sexist!,1
16714,thoughts on female fighters 'dolled up' in promotions?,1
22046,. we must stand together with all of our brothers and sisters.,1
12707,"libtard- ""i can't believe she hate muslims and suppo trump. how can a black woman do that?"" me ""because i'm not your damn slave!""",1
22657,calls for to step down but he won't because he knows that he can spew with no consequences! d,1
24094,what does have against via,1
3506,speaking of in and ddd cc,1
28435,princess eugenie caught up in 'racism' row over white actors playing chinese pas,1
23458,i decided to become a beginning 1/1/17. if any feminists are reading plz help to find educational materials.,1
17749,hidden in is as rampant as blatant racism.,1
12585,trumps associates are a classy bunch.,1
1571,"get over it, the world keeps spinning .",1
9810,new video! wanna see the worst sha|,1
25667,paul beloy: is still an issue at varying levels in belgian football,1
5124,your comments are reflections of ignorance and,1
5356,i don't even know what is/isn't anymore.,1
31930,why is ignored,1
31398,"we have to do this. need to change profiling, and get service to the poor.a|",1
2750,has happened far too often,1
2088,people spit on the face of | meditations for the a|,1
23107,&amp; i designed a neutral jumpsuit to call out subtle remains of involved in buttoning a shi :),1
5449,you might be a libtard if...,1
17180,wow was a real at times back in the day on great more talk,1
3354,"if you are one of the 64.2 mil who rejected , &amp; fly your flag half mast on jan.a|",1
29970,the kind of we can expect in amrica,1
1409,"ultimately, a from early that i wish i didn't have to tell. i also wish it didn't do as well as it dida|",1
3307,makes comments about,1
8073,"seriously lede. come on, you can do better.",1
28613,what think about :,1
24944,are you &amp; feel like the are stomping a| you? listen,1
22382,this motherfucker needs to be in acharles paladino's racist comments spark calls for resignationa,1
4645,"why do all ""#liberals"" look the same? i mean i know that i'm being for saying this but cmon! ps. where do ia|",1
6102,will the alt-right promote a new kind of genetics? mt,1
28050,"btw, was a . in adores him (withoa|",1
30022,"why? please explain to us why we're, ""bad.""",1
558,i don't like the slogan. talk about being .,1
27663,on the nose: perfumer sparks furore,1
12704,"statement,doubling down to media:my comments in avoice were not",1
15624,trump real estate buddy carl paladino wishes obama dead of mad cow disease in 2017 a|,1
6021,in dd! mother after arrest; via,1
14051,thanks to you the next four years are forecasted to be the worst. i hope your plans for,1
3372,"outrageous, vote: un voting against businesses only in and blacklistina|",1
17511,kicking off about acting slutty on do it every time and no one bats a lid. against men! ;),1
23756,chat with maria,1
9183,intolerant post-brexit britain: history shows we can be better than this |,1
11985,"creature on the eah, w/ girls in",1
14082,are you &amp; feel like the are a|on you? listen,1
7458,lock the gate!,1
20222,"in the case of the commonwealth of the internet vs the evidence proved him guilty of , , and",1
22572,pick for attorney general is shadowed by race and history is,1
13639,white girl has sex with black guy sexest women nude,1
31680,chick gets fucked crazy european sex,1
6599,what makes me please let me know!!,1
31443,is a &amp; a sick fuck! he looks like his pedophile friend,1
621,you might be a libtard if...,1
25019,michelle obama aape in heelsa case is just the beginning::,1
24574,the everyday response to,1
12671,you might be a libtard if...,1
28186,only a like could merge images like this without understanding the racist impact of the effect.,1
15562,athe biopolitics of desire and neo-nazi fashion iconsa,1
21654,"hey! but the chinese are communists as well! oh but they're not white, that's right. i see.",1
20214,new law makes it acceptable to clip racist cab drivers round the ear:,1
4374,your definition of subtle doesn't count. use the english dictionary definition. otherwise you risk slander.,1
24191,not denial. to normalizing and,1
14264,= the raison d'etre of the adl has always been to incite as a means to usher in,1
24602,michelle obama aape in heelsa case is just the beginning,1
20277,video shows white texas cop arresting black mother who repoed assault on her son,1
15061,wew i only know they are diff couples when i look at the guys. d,1
16446,has happened far too often,1
7420,why? it's gonna suck - no one wants anything to do with this shitfest,1
22178,"lesson from history, choose carefully; main l. king / malcolm x :: reconciliation / vengeance",1
8598,in chief- the gangs all here more at,1
26203,this concept was thrown out of the window when supremacists &amp; heededa|,1
3348,is so typical. could you be anymore ? just look at the hate her feed. you say buta|,1
5927,from emojis to the inexistence reverse via .@user .@user,1
3059,"beware the ""snowball effect"" blackman! pa 2",1
31667,the need to keep feeding their,1
56,lets fight against,1
23208,i'm genuinely disappointed that a performer as great as is judged in 2016 for having hair under hea|,1
8515,"""the dying of the light"" village green/townA2",1
12112,empress regnant a distant prospect for japan despite gender equality law,1
14054,you might be a libtard if...,1
14638,"white people, black people, brown people good &amp; evil is not a color!",1
10568,techjunkiejh:'alt-right' site plans a 'fake black person' twitter campaign a|,1
15435,vandalised in in condemns act,1
22216,not every trump suppoer is a racist but every racist is a trump suppoer. this an irrefutable truism. must never be tolerated.,1
4477,hooked the healand by validating their,1
10852,not all muslims hate america. a| _OSSUO!U O1Ua|,1
18412,"it's time to end now. ""days of our lives (live)"" shyan selah",1
28434,omits decades of records for his ag confirmation hearing a| no surprise from this,1
984,"don't forget, - research shows that sexist men have psychological problems.",1
5436,"that whole , too stupid,to realise that a young progressive country,is",1
19732,homicides rose in most big cities this year - the wall street journal,1
22031,a&amp;e pulls controversial reality show about the kkk after learning producers paid hate-group members,1
131,aren't protesting because a won-they do so because trump has fuhered &amp;a|,1
20064,the immature is just trying to make a fool of,1
19612,you mean this guy,1
27947,"stones and humans are different, but to gravity thereas no difference. a|a|",1
23198,word factory: race denial prevents healing! &gt;9,1
11804,"how about a qualifications trc, professor bozzoli?",1
23596,hiv infection from oral sex white girl has sex with black guy,1
192,you might be a libtard if...,1
21394,.@user ends 2016 with a hopeful message against in the music industry viaa|,1
21874,where's the ? you need to reappraise your victimhood.,1
13827,"this is and the rape of land that is not theirs at all for dud,",1
18954,was subjected to and she fought back hard!,1
29803,that's why d,1
10255,so this girl walks into and refuses to let me serve her because i'm a white guy? whoa hey there and,1
26681,what is racism then? would he have done same with a white mother? proof that there is a group that isa|,1
3080,you might be a libtard if...,1
15572,"is , and for the job.",1
18238,republican trump buddy who's rabid racist can't figure out what's wrong w/saying violently hateful things.,1
28210,book - in a global age ht,1
28406,just pre-ordered this. it sounds a really great book,1
29156,what does the tornado and black people have in common? it only takes 1 to ruin the neighborhood.,1
27121,um why a girl and not a boy? or maybe just gender neutral teenager.,1
19912,"jews, christians and muslims all believe that good will prevail.",1
4364,2017 a make fakequity great(er) again via,1
19210,"when you say you make mediocre videos, you're being way to flattering. why so though?",1
7227,"here's how to combat violent extremism in 2017. ""the white nationalist who came to dinner""",1
13785,todays donkey are proud of murdering real palestinian semitic children - thats what i calla|,1
12628,how is it that a man comes in last in a race but he is declared a winner?,1
10194,"retweet, like, and comment! goes on against two ... ona|",1
3408,i wasn't aware facebook was a legislature.,1
11801,can everyone please pound on for this comment on about a great lawa|,1
28403,and i never mentioned race nor could i care yet the bitch called me david duke so imo she's a,1
22166,in a nutshell.,1
8904,the latest thanks to,1
20294,the pros and cons of marrying an irishman omg! a sexist aicle on men &amp; can only add to ongoing,1
17926,"if a ""negro"" is good he is allowed to go to as a servant for all eternity according to mormonisa|",1
4612,"""your people"" would have all died of scurvy their first winter if the first nations hadn't shown them a cute.a|",1
20092,in injustice and inflame protests over ash: tya|,1
14816,"&amp; joseon people in japan, will abuse the for claims of own rights by rough demo.",1
11341,no joking matter! officers fired for joke about target practice in neighborhoods via,1
30599,"just like , &amp; need to be the bad guy as an excuse for their bad ideology",1
17937,a giant version of the of and flapping in on i-95n,1
9342,why do the most wise words often come from black americans? is it just a reaction of ?,1
17423,a peek of here: then come back to holier than moi??,1
5037,my family's horrible attack at in thyini thiza! we want ta|,1
826,".@user is it possible for you to speak in any topic without bringing race into it, you bigot? a|",1
7663,"stuakenyon81 swiftly sharpens the fang , &amp; eevalancaster",1
30937,"you anti-whites brag about our ""inevitable brown future"" then scream """" when we oppose it. you're pushing",1
1768,"abe government is mere puppet of ultra rightist group ""aeY=ae!a 1/4 edeg(japan conference)""",1
9558,!!! no-balls to 'own' his ... 'coward' !!! ///,1
21241,"new black panthers recently in chant ""free us or die cracker"" &amp; ""f*ck the pigs""a|",1
19658,"ppl wait for 10 hrs airpo, miss connecting flights, put them on flights 24 hrs later, aa|",1
28877,need a black page3 girl to shut down page3 for as well as page3,1
17608,"who's that ugly""lady""?",1
5431,itas official: hate breeds hate,1
2567,chick gets fucked videos of big asses havin sex,1
1411,shot inside a pussy office woman,1
7592,twitter is full of vile but man does it give me the juice to,1
25742,"""the blacks""? ""the blacks""? ""blacks""? *facepalm* *smh*",1
4632,how was first officially codified in 15th-century,1
1366,because we have been for the that only want our vote!,1
19326,the kind of we can expect in amrica,1
20427,your comments about mrs. obama are offensive and fuher confirm that you are a racist jackass.,1
28558,co-chair '#gorilla' comment about 'damn,1
8352,! tears,1
15539,will you allow the to defile the church with,1
5669,everyday life for a white south african.,1
5527,i have been open about hvg &amp; being a of years more than one rapist. is still my chief complaint.,1
16871,please from the school board.,1
7735,the latest the liveleap bonus daily! thanks to,1
21849,has demonstrated disrespect against for 8 yrs! gop feigned outrage is full of excrement!,1
5088,stop perpetuating false racism and leftist subversive politically correct propaganda. america is not racist! wa|,1
749,everytime i wear soccer shis joie fries me and says i look mexican as fuck d,1
12238,re: your message of - god loves people. is not just about color - it's about hate &amp; you preach hate!,1
16972,want a lesson in and imagine if had 5 kids by 3 different women and bragged about grabbing pussies,1
29899,meanwhile german can also not be distinguished from neo nazi scene anymore in terms of terminology,1
15525,it's clear that we're having a crisis of in this country. so what do we do about it? read,1
27550,probably a not so closeted who'd have been posing w/a man not long ago. ..nuff said..,1
15340,"like all religion, islam is a strong unifying force. a|",1
27726,are a| &amp; feel like the are stomping on you? listen,1
23651,seriously got rejected by my driver as soon as i got in the car because i'm white... wow! at its finest!,1
3121,saying i am not racist is a| enough protest and denounce,1
18132,cleveland police union overwhelmingly endorses trump for president kkk love,1
19338,"wish i was black , i could have lots of feminists shut down for &amp;",1
19313,mixed race couples still face in australia,1
9872,not ever,1
19417,just saying they would have let a guy fall to the ground and get wailed on for 10 seconds before calling the fight,1
3864,trumps wall is not about . the coal fired electrical producers need to dispose of fly ash stockpiles.,1
7760,you might be a libtard if...,1
